DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BG,1991,4120.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BG,1992,3197.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BG,1993,2711.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BG,1994,1998.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BG,1996,2285.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2000,3565.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2001,3315.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2002,3458.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2003,3363.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2004,3126.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2005,2877.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2006,2840.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2007,2830.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,CZ,2008,2433.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1990,28719.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1991,27376.6,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1992,26159.9,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1993,26335.3,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1994,25435.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1995,24515.9,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1996,23552.1,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1997,24416.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DE,1998,25212.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1973,0.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1974,8167.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1975,8105.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1976,7969.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1977,8047.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1978,8528.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1979,9279.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1980,9683.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1981,9697.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1982,9306.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1983,9413.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1984,8699.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1985,9278.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1986,9417.0,
