DATAFLOW,LAST UPDATE,freq,month,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BA,2016,75.00,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BA,2017,73.00,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BA,2018,73.00,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BA,2019,72.00,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BA,2020,71.00,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1963,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1964,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1965,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1966,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1967,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1968,2.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1969,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1970,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1971,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1972,3.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1973,4.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1974,4.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1975,5.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1976,6.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1977,6.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1978,9.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1979,6.10,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1980,6.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1981,6.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1982,7.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1983,6.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1984,7.09,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1985,7.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1986,7.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1987,8.40,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1988,8.40,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1989,8.40,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1990,8.40,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1991,9.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1992,8.98,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1993,7.55,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1994,8.27,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1995,8.27,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1996,10.67,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1997,10.40,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1998,12.02,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,1999,12.89,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2000,16.25,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2001,22.30,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2002,25.02,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2012,35.96,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2013,0.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2015,38.59,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2016,50.80,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BE,2019,38.59,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1987,428.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1988,436.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1989,433.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1990,498.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1991,553.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1992,611.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1993,676.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1994,795.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1995,833.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1996,849.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1997,966.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1998,1048.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,1999,1046.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2000,740.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2001,675.30,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2002,754.50,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2003,725.30,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2004,718.12,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2005,608.43,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2006,549.08,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2007,495.48,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2008,429.83,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2009,360.82,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2010,356.34,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2011,341.36,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2012,293.64,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2013,289.31,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2014,292.64,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2015,276.92,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2016,237.54,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2017,256.97,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2018,271.74,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2019,228.49,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2020,253.40,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,BG,2021,215.00,
