DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BA,2018,438.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BA,2019,430.00,e
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BA,2020,427.00,e
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1973,2896.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1974,2889.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1975,2805.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1976,2823.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1977,2823.24,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1978,2869.90,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1979,2893.90,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1980,2896.75,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1981,2858.90,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1982,2896.07,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1983,2957.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1984,2988.68,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1985,2944.17,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1986,2967.38,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1987,2950.20,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1988,2966.79,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1989,3049.28,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1990,3146.32,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1991,3105.51,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1992,3099.59,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1993,3084.22,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M12,THS_HD,BE,1994,3161.13,
